Nº,HORTALIZAS,0,A,B1,B2,C,Niac,Na,K,Ca,Mg,Fe,Cu,P,S,Cl
136,repollo,crudo,1780.00,75.00,90.00,51000.00,0,18.00,228.00,49.00,27.00,3.20,0,43.00,64.00,14.20
137,salsifi,cocidos,0,0.00,0,0,0,8.40,183.00,60,14.20,1.23,0.12,53.00,25.00,46.00
138,seta,cruda,0,35.00,250.00,6000.00,3000.00,5.00,520.00,7.20,0,0.90,0,95.00,0,0
139,seta,frita,0,60.00,0,0,0,11.00,568.00,3.5,16.00,1.25,0.66,166.00,73.80,103.00
140,tomate,cruda,1300.00,70.00,40.00,27000.00,450.00,3.00,258.00,11.50,13.00,0.50,0.90,24.00,12.20,48.00
141,tomate,cocida,1000.00,60.00,30.00,16000.00,700.00,20.00,220.00,11.00,12.00,0.60,0.09,22.00,14.00,63.00
142,tomate,frito,0.00,0,0,0,0,3.30,277.00,36,12.40,0.56,0.10,23.00,7.90,0.00
143,tomate,jugo,1050.00,50.00,30.00,16000.00,800.00,126.00,270.00,7.00,10.00,0.40,0,15.00,5.00,39.00
144,trufa,fresca,0.00,0,0,0,0,77.00,400.00,24,18.00,0,0,62.00,0,0
145,trufa,seca,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
146,verduras (medio),crudas,2500.00,100.00,100.00,35000.00,600.00,0,0,49.00,0,0,0,0,0,0
147,zanahoria,cruda,11000.00,75.00,70.00,6000.00,500.00,76.00,281.00,44.00,15.00,0.80,0.90,34.00,17.00,54.00
148,zanahoria,cocida,9000.00,32.00,28,2000,470.00,80.00,107.00,32.00,7.60,0.60,0.08,24.00,8.00,29.20
